eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,geometry
stpeters,St Peters parkrun,St Peters,,3,1,"Sydney Park, St Peters, Sydney",POINT (151.18219 -33.907658)
albertmelbourne,"Albert parkrun, Melbourne",Albert Melbourne,,3,1,"Albert Park, Melbourne, Australia",POINT (144.96312 -37.843521)
newfarm,New Farm parkrun,New Farm,,3,1,"New Farm, Brisbane",POINT (153.051636 -27.471134)
mainbeach,Main Beach parkrun,Main Beach,,3,1,"Main Beach, Goldcoast",POINT (153.428879 -27.972706)
kirra,Kirra parkrun,Kirra,,3,1,"Kirra Beach, Gold Coast QLD, Australia",POINT (153.522781 -28.166758)
newy,Newy parkrun,Newy,,3,1,"50a Tully St, Carrington, Newcastle NSW",POINT (151.76144 -32.914566)
ginninderra,Ginninderra parkrun,Ginninderra,,3,1,John Knight Memorial Park,POINT (149.073486 -35.234051)
coomera,Coomera parkrun,Coomera,,3,1,Tallowwood Park,POINT (153.281709 -27.885247)
balyangsanctuary,Balyang Sanctuary parkrun,Balyang Sanctuary,,3,1,Balyang Sanctuary,POINT (144.331179 -38.166457)
parramatta,Parramatta parkrun,Parramatta,,3,1,George Kendell Riverside Park,POINT (151.065488 -33.819767)
claisebrookcove,Claisebrook Cove parkrun,Claisebrook Cove,,3,1,Claisebrook Cove,POINT (115.881884 -31.950868)
wynnum,Wynnum parkrun,Wynnum,,3,1,"Wynnum Manly Foreshore, QLD",POINT (153.177898 -27.442933)
curlcurl,Curl Curl parkrun,Curl Curl,,3,1,John Fisher Park,POINT (151.282339 -33.766483)
northlakes,North Lakes parkrun,North Lakes,,3,1,"Eden Lake, North Lakes, Queensland",POINT (153.020729 -27.23669)
kingscliff,Kingscliff parkrun,Kingscliff,,3,1,"Bells Boulevard, SALT Village, Kingsclif",POINT (153.578901 -28.277477)
kawana,Kawana parkrun,Kawana,,3,1,Kawana Surf Club,POINT (153.135488 -26.702046)
riverway,Riverway parkrun,Riverway,,3,1,Riverway Lagoon,POINT (146.73018 -19.320306)
sandgate,Sandgate parkrun,Sandgate,,3,1,Arthur Davis Park,POINT (153.068234 -27.311291)
southbank,South Bank parkrun,South Bank,,3,1,South Bank Parklands,POINT (153.023962 -27.478872)
risdonbrook,Risdon Brook parkrun,Risdon Brook,,3,1,Risdon Brook Park,POINT (147.332352 -42.804471)
torrens,Torrens parkrun,Torrens,,3,1,Torrens Lake Weir,POINT (138.587444 -34.917551)
launceston,Launceston parkrun,Launceston,,3,1,"Inveresk Precinct, Launceston, Tasmania",POINT (147.14088 -41.425512)
rockingham,Rockingham parkrun,Rockingham,,3,1,Rockingham,POINT (115.728757 -32.275296)
darwin,Darwin parkrun,Darwin,,3,1,Bicentennial Park,POINT (130.840725 -12.466925)
lakemac,Lake Mac parkrun,Lake Mac,,3,1,Lake Macquarie,POINT (151.612487 -32.972596)
varsitylakes,Varsity Lakes parkrun,Varsity Lakes,,3,1,Varsity Lakes,POINT (153.410554 -28.084627)
fingalbay,Fingal Bay parkrun,Fingal Bay,,3,1,Fingal Bay,POINT (152.170644 -32.742887)
canningriver,Canning River parkrun,Canning River,,3,1,Canning River Regional Park,POINT (115.92266 -32.020912)
shepparton,Shepparton parkrun,Shepparton,,3,1,Victoria Park Lake,POINT (145.396146 -36.390858)
toowoomba,Toowoomba parkrun,Toowoomba,,3,1,Queens Park,POINT (151.963926 -27.56019)
mitchelton,Mitchelton parkrun,Mitchelton,,3,1,Teralba Park,POINT (152.979298 -27.404423)
warrnambool,Warrnambool parkrun,Warrnambool,,3,1,Warrnambool,POINT (142.47937 -38.392862)
noosa,Noosa parkrun,Noosa,,3,1,Noosaville,POINT (153.030388 -26.40872)
tuggeranong,Tuggeranong parkrun,Tuggeranong,,3,1,Lake Tuggeranong,POINT (149.064989 -35.410284)
bunbury,Bunbury parkrun,Bunbury,,3,1,Big Swamp Wildlife Park,POINT (115.633228 -33.342966)
loganriver,Logan River parkrun,Logan River,,3,1,Logan River parklands,POINT (153.192024 -27.698831)
mountbarker,Mount Barker parkrun,Mount Barker,,3,1,Mount Barker Homemaker Centre,POINT (138.867869 -35.069655)
aveley,Aveley parkrun,Aveley,,3,1,Central Park,POINT (115.988052 -31.789954)
lakejoondalup,Lake Joondalup parkrun,Lake Joondalup,,3,1,Neil Hawkins Park,POINT (115.777144 -31.744138)
sandonpoint,Sandon Point parkrun,Sandon Point,,3,1,Sandon Point,POINT (150.924554 -34.333372)
northshore,North Shore parkrun,North Shore,,3,1,North Shore,POINT (146.70074 -19.252326)
northwollongong,North Wollongong parkrun,North Wollongong,,3,1,Fairy Meadow Beach,POINT (150.904866 -34.395977)
ipswichqld,Ipswich QLD parkrun,Ipswich QLD,,3,1,Bill Patterson Oval,POINT (152.764292 -27.625421)
batemansbay,Batemans Bay parkrun,Batemans Bay,,3,1,Batemans Bay,POINT (150.185995 -35.712112)
gungahlin,Gungahlin parkrun,Gungahlin,,3,1,Yerrabi Pond,POINT (149.129405 -35.178952)
tamworth,Tamworth parkrun,Tamworth,,3,1,Tamworth,POINT (150.936905 -31.099559)
airliebeach,Airlie Beach parkrun,Airlie Beach,,3,1,Coral Sea Marina,POINT (148.711122 -20.267153)
wynyardforeshore,Wynyard Foreshore parkrun,Wynyard Foreshore,,3,1,East Wynyard Foreshore,POINT (145.738245 -40.98771)
kalgoorlieboulder,Kalgoorlie-Boulder parkrun,Kalgoorlie-Boulder,,3,1,Karlkurla Bushland Park,POINT (121.456625 -30.718868)
gatton,Gatton parkrun,Gatton,,3,1,Lake Apex,POINT (152.270476 -27.570426)
cairns,Cairns parkrun,Cairns,,3,1,Cairns Esplanade,POINT (145.763211 -16.904574)
highlands,Highlands parkrun,Highlands,,3,1,Stocklandâ€™s Highlands community,POINT (144.903713 -37.59106)
devonport,Devonport parkrun,Devonport,,3,1,Mersey Bluff,POINT (146.356321 -41.162847)
cleveland,Cleveland parkrun,Cleveland,,3,1,Cleveland,POINT (153.274298 -27.539355)
gladstoneqld,Gladstone QLD parkrun,Gladstone QLD,,3,1,Lions Park,POINT (151.238458 -23.871873)
rocksriverside,Rocks Riverside parkrun,Rocks Riverside,,3,1,Rocks Riverside Park,POINT (152.959235 -27.542633)
nulkaba,Nulkaba parkrun,Nulkaba,,3,1,St Phillips Christian College,POINT (151.352856 -32.794952)
hastingsforeshore,Hastings Foreshore parkrun,Hastings Foreshore,,3,1,Hastings Foreshore,POINT (145.196651 -38.307311)
bunyaville,Bunyaville parkrun,Bunyaville,,3,1,James Drysdale Recreational Conservation Centre,POINT (152.949138 -27.377306)
inverell,Inverell parkrun,Inverell,,3,1,Campbell Park,POINT (151.10897 -29.77388)
mosman,Mosman parkrun,Mosman,,3,1,Spit West Reserve,POINT (151.245989 -33.806252)
armidale,Armidale parkrun,Armidale,,3,1,SportUNE,POINT (151.639419 -30.491998)
diamondcreek,Diamond Creek parkrun,Diamond Creek,,3,1,Marngrook Oval,POINT (145.153249 -37.673576)
warwick,Warwick parkrun,Warwick,,3,1,Condamine River,POINT (152.038465 -28.209605)
oceangrove,Ocean Grove parkrun,Ocean Grove,,3,1,Barwon Estuary Picnic Area,POINT (144.512783 -38.267313)
bargara,Bargara parkrun,Bargara,,3,1,Nielson Park,POINT (152.456905 -24.806914)
bathurst,Bathurst parkrun,Bathurst,,3,1,Bicentennial Park,POINT (149.586917 -33.414176)
portmacquarie,Port Macquarie parkrun,Port Macquarie,,3,1,Port Macquarie,POINT (152.916551 -31.42754)
blackbutt,Blackbutt parkrun,Blackbutt,,3,1,Richley Recreation Reserve,POINT (151.699755 -32.932526)
emerald,Emerald parkrun,Emerald,,3,1,Botanical Gardens,POINT (148.164253 -23.531435)
berwicksprings,Berwick Springs parkrun,Berwick Springs,,3,1,Berwick Springs Promenade,POINT (145.322932 -38.062069)
pointcook,Point Cook parkrun,Point Cook,,3,1,Arndell Park Community Centre,POINT (144.72952 -37.862086)
