eventname,EventLongName,EventShortName,countrycode,seriesid,EventLocation,geometry
albertmelbourne,"Albert parkrun, Melbourne",Albert Melbourne,3,1,"Albert Park, Melbourne, Australia",POINT (144.96312 -37.843521)
highlands,Highlands parkrun,Highlands,3,1,Stockland's Highlands community,POINT (144.903713 -37.59106)
hastingsforeshore,Hastings Foreshore parkrun,Hastings Foreshore,3,1,Hastings Foreshore,POINT (145.196651 -38.307311)
diamondcreek,Diamond Creek parkrun,Diamond Creek,3,1,Marngrook Oval,POINT (145.153249 -37.673576)
berwicksprings,Berwick Springs parkrun,Berwick Springs,3,1,Berwick Springs Promenade,POINT (145.322932 -38.062069)
pointcook,Point Cook parkrun,Point Cook,3,1,Arndell Park Community Centre,POINT (144.72952 -37.862086)
westerfolds,Westerfolds parkrun,Westerfolds,3,1,Westerfolds Park,POINT (145.133986 -37.746092)
lillydalelake,Lillydale Lake parkrun,Lillydale Lake,3,1,Lilydale Lake,POINT (145.357071 -37.766218)
maribyrnong,Maribyrnong parkrun,Maribyrnong,3,1,Maribyrnong,POINT (144.897858 -37.770632)
pakenham,Pakenham parkrun,Pakenham,3,1,Pakenham,POINT (145.463839 -38.06462)
toolerncreek,Toolern Creek parkrun,Toolern Creek,3,1,Toolern Creek Park,POINT (144.583229 -37.714776)
froghollow,Frog Hollow parkrun,Frog Hollow,3,1,David Collins Drive,POINT (145.273622 -37.991559)
parkville,Parkville parkrun,Parkville,3,1,Princes Park,POINT (144.961755 -37.784837)
brimbank,Brimbank parkrun,Brimbank,3,1,Brimbank Park,POINT (144.834123 -37.727547)
coburg,Coburg parkrun,Coburg,3,1,Coburg Lake Reserve,POINT (144.968861 -37.733811)
jells,Jells parkrun,Jells,3,1,Jells Park,POINT (145.193976 -37.897912)
altonabeach,Altona Beach parkrun,Altona Beach,3,1,Apex Park,POINT (144.811911 -37.875236)
wyndhamvale,Wyndham Vale parkrun,Wyndham Vale,3,1,Presidents Park,POINT (144.634532 -37.881655)
studley,Studley parkrun,Studley,3,1,Studley Park Boathouse,POINT (145.008858 -37.80083)
lalor,Lalor parkrun,Lalor,3,1,Whittlesea Public Gardens,POINT (144.985422 -37.668084)
chelseabicentennial,Chelsea Bicentennial parkrun,Chelsea Bicentennial,3,1,Chelsea Bicentennial Park,POINT (145.12656 -38.049247)
wilsonbotanic,Wilson Botanic parkrun,Wilson Botanic,3,1,Wilson Botanic Park,POINT (145.339808 -38.026521)
karkarook,Karkarook parkrun,Karkarook,3,1,Karkarook Park,POINT (145.086858 -37.940079)
mullummullum,Mullum Mullum parkrun,Mullum Mullum,3,1,"Schwerkolt Cottage, Mitcham",POINT (145.21251 -37.811673)
darebin,Darebin parkrun,Darebin,3,1,C T Barling Reserve,POINT (145.034293 -37.721239)
mernda,Mernda parkrun,Mernda,3,1,Mernda Adventure Park,POINT (145.100493 -37.593706)
newportlakes,Newport Lakes parkrun,Newport Lakes,3,1,Newport Lakes Reserve,POINT (144.870716 -37.840109)
sunbury,Sunbury parkrun,Sunbury,3,1,Apex Park,POINT (144.739936 -37.580542)
marriottwaters,Marriott Waters parkrun,Marriott Waters,3,1,Marriott Waters Reserve,POINT (145.249088 -38.072157)
gardinerscreek,Gardiners Creek parkrun,Gardiners Creek,3,1,Gardiners Creek Reserve,POINT (145.114787 -37.845344)
rosebud,Rosebud parkrun,Rosebud,3,1,Rosebud Parade,POINT (144.905291 -38.354221)
kmreedyreserve,KM Reedy Reserve parkrun,KM Reedy Reserve,3,1,KM Reedy Reserve,POINT (145.251726 -38.021647)
birdslandreserve,Birdsland Reserve parkrun,Birdsland Reserve,3,1,Birdsland Reserve,POINT (145.335724 -37.923408)
berwickwaters,Berwick Waters parkrun,Berwick Waters,3,1,Berwick Waters Playground,POINT (145.342965 -38.078218)
aurora,Aurora parkrun,Aurora,3,1,Aurora Town Centre Park,POINT (145.00465 -37.622365)
warringalparklands,Warringal Parklands parkrun,Warringal Parklands,3,1,Warringal Parklands,POINT (145.074478 -37.755246)
dandenong,Dandenong parkrun,Dandenong,3,1,Dandenong Park,POINT (145.215644 -37.991139)
cyrilcurtainreserve,Cyril Curtain Reserve parkrun,Cyril Curtain Reserve,3,1,Cyril Curtain Reserve,POINT (144.902847 -37.872231)
cascadesonclydewetlands,Cascades on Clyde Wetlands parkrun,Cascades on Clyde Wetlands,3,1,Cascades on Clyde Wetlands,POINT (145.325835 -38.100383)
dorsetrecreationreserve,Dorset Recreation Reserve parkrun,Dorset Recreation Reserve,3,1,Dorset Recreation Reserve,POINT (145.29128 -37.805244)
frankstonnatureconservationres,Frankston Nature Conservation Reserve parkrun,Frankston Nature Conservation Reserve,3,1,Frankston Nature Conservation Reserve,POINT (145.12985 -38.17212)
lewisparkreserve,Lewis Park Reserve parkrun,Lewis Park Reserve,3,1,Lewis Park Reserve,POINT (145.248705 -37.86738)
warrandyteriverreserve,Warrandyte River Reserve parkrun,Warrandyte River Reserve,3,1,Warrandyte River Reserve,POINT (145.219969 -37.73646)
kirkdalereserve,Kirkdale Reserve parkrun,Kirkdale Reserve,3,1,Kirkdale Reserve,POINT (144.983855 -37.770512)
woodlandshistoricpark,Woodlands Historic Park parkrun,Woodlands Historic Park,3,1,Woodlands Historic Park,POINT (144.843618 -37.640182)
maroondahdam,Maroondah Dam parkrun,Maroondah Dam,3,1,Maroondah Dam,POINT (145.552323 -37.642875)
emeraldlake,Emerald Lake parkrun,Emerald Lake,3,1,Emerald Lake,POINT (145.458234 -37.930268)
aintreereserve,Aintree Reserve parkrun,Aintree Reserve,3,1,Aintree Reserve,POINT (144.673619 -37.712795)
belvedere,Belvedere parkrun,Belvedere,3,1,Belvedere,POINT (145.155851 -38.105426)
